"TrialID","Date","Scientific title","Intervention","Country","Size","Drugs","isRandomized","isCombination","isDrugTrial"
"ChiCTR2000029870","2020-02-15","Evaluation of Rapid Diagnostic Kit (IgM/IgG) for Novel Coronavirus Pneumonia (COVID-19)","Gold Standard:Nucleic acid detection method of novel Coronavirus pneumonia ;Index test:IgM/IgG;","China",600,NA,FALSE,FALSE,FALSE
"ChiCTR2000029869","2020-02-15","A multicenter, randomized, controlled trial for integrated Chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (COVID-19) based on the ' Internal and External Relieving -Truncated Torsion' strategy","experimental group:Truncated Torsion' Formula and Routine treatment of Western Medicine;control group:Routine treatment of Western Medicine;","China",300,"truncated torsion",FALSE,FALSE,TRUE
"ChiCTR2000029867","2020-02-15","The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial","Experimental group:Carrimycin;Control group:Lopinavir and Ritonavir Tablets;","China",520,"carrimycin, lopinavir, ritonavir",FALSE,TRUE,TRUE
"ChiCTR2000029855","2020-02-15","A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)","Chinese traditional medicine group 1:Traditional Chinese medicine qingfei prescription treatment;Chinese traditional medicine group 2:Traditional Chinese medicine clear lung prescription and compound houttuynia mixture treatment;Control group:Conventional treatment;","China",180,"compound houttuynia, qingfei",FALSE,TRUE,TRUE
"ChiCTR2000029853","2020-02-15","A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)","Experimental group:Oral administration of 5 tablets of 1mg Azvudine tablets daily;Control group:According to the ""Pneumonia Diagnosis and Treatment Plan for New Coronavirus Infection (Trial Version 5)"" issued by National Health Commission of People's Republic of China, the subjects were given corresponding treatment.;","China",20,"azvudine",FALSE,FALSE,TRUE
"ChiCTR2000029850","2020-02-15","Effecacy and safty of convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19): a prospective cohort study","experimental group:standardized comprehensive treatment combined with convalescent plasma treatment;control group:standardized comprehensive treatment;","China",20,"convalescent plasma",TRUE,TRUE,TRUE
"ChiCTR2000029849","2020-02-15","Application of Regulating Intestinal Flora in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19)","Experimental group:Regulating intestinal flora + conventional treatment;Control group:conventional treatment;","China",60,NA,FALSE,FALSE,FALSE
"ChiCTR2000029839","2020-02-15","An observational study on the clinical characteristics, treatment and outcome of novel coronavirus pneumonia (COVID-19)","Case series:variety treatments;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029821","2020-02-14","Based on Delphi Method to Preliminarily Construct a Recommended Protocol for the Prevention of Novel Coronavirus Pneumonia (COVID-19) in Deyang Area by Using Chinese Medicine Technology and its Clinical Application Evaluation","Observation  group:TCM prevention;Health  education unit:Health  education;","China",400,NA,TRUE,FALSE,FALSE
"ChiCTR2000029819","2020-02-14","Study for the pharmacodynamics and mechanism of traditional Chinese medicine in the treatment of novel coronavirus infection (COVID-19) based on inflammatory factor network","Experimental group:Conventional treatment + take Ba-Bao-Dan;Control group:Conventional treatment;","China",80,"ba-bao-dan",TRUE,FALSE,TRUE
"ChiCTR2000029815","2020-02-14","Psychological survey of frontline medical staff in various regions of China during the epidemic of novel coronavirus pneumonia (COVID-19)","Case series:Nil;","China",800,NA,FALSE,FALSE,FALSE
"ChiCTR2000029814","2020-02-14","Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19)","control group:Western Medicine;experimental group:Integrated Traditional Chinese and Western Medicine;","China",30,NA,TRUE,FALSE,FALSE
"ChiCTR2000029813","2020-02-14","Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19)","Experimental group:Conventional Treatment & Tanreqing Capsules (oral, 3 capsules at a time, 3 times a day);Control Group:Conventional Treatment;","China",72,NA,FALSE,FALSE,FALSE
"ChiCTR2000029811","2020-02-14","Clinical Study for Anti-aging Active Freeze-dried Powder Granules in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19)","Experimental group:Conventional treatment+Anti-aging Active Freeze-dried Powder Granules;Control group:Conventional treatment;",NA,60,NA,FALSE,FALSE,FALSE
"ChiCTR2000029810","2020-02-14","Development and application of a novel high sensitivity nucleic acid assay for novel coronavirus pneumonia (COVID-19)  based on CRISPR-cas protein","Gold Standard:Nucleic acid test for new coronavirus, RT-PCR;Index test:RT-PCR&#32;product&#32;of&#32;SARS-CoV-2.;","China",10300,NA,FALSE,FALSE,FALSE
"ChiCTR2000029806","2020-02-14","Optimization of treatment and diagnosis plan for critically ill patients","Thymosin treatment group:Thymosin for injection 1.6 mg sc qd for 5 days;PD-1 treatment group:Camrelizumab 200 mg single dose, diluted to 100 ml intravenous infusion;Conventional treatment group:Conventional treatment;","China",120,"camrelizumab, thymosin",FALSE,TRUE,TRUE
"ChiCTR2000029805","2020-02-14","Optimization of treatment and diagnosis plan for critically ill patients","case series:N/A;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029804","2020-02-14","Optimization of treatment and diagnosis plan for critically ill patients","Case series:NA;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029790","2020-02-13","Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19)","Control group:Western medicine basic treatment;Experimental group:Western medicine basic treatment combined with traditional Chinese medicine;","China",120,NA,FALSE,FALSE,FALSE
"ChiCTR2000029789","2020-02-13","Randomized controlled trial for TCM syndrome differentiation treatment impacting quality of life of post-discharge patients with novel coronavirus pneumonia (COVID-19)","Experimental group:TCM based on symptomatic treatment;Control group:Placebo TCM based on symptomatic treatment;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029788","2020-02-13","Traditional Chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (COVID-19): a randomized controlled trial","Control group :Western medicine routine treatment plan;Intervention group :Western medicine routine treatment plan plus TCM syndrome differentiation treatment;","China",60,NA,FALSE,FALSE,FALSE
"ChiCTR2000029782","2020-02-13","Clinical study for the changes in mental state of medical staff in the department of radiotherapy in a comprehensive tertiary hospital in Zhejiang Province during the epidemic of novel coronavirus infection (COVID-19)","Case series:Not applicable.;","China",27,NA,FALSE,FALSE,FALSE
"ChiCTR2000029779","2020-02-13","Study for the key issues of the diagnosis and treatment of novel coronavirus pneumonia (COVID-19) based on the medical imaging","Gold Standard:Guidelines for novel coronavirus pneumonia (fifth edition);Index test:Diagnosis&#32;model&#32;based&#32;on&#32;Artificial&#32;Intelligence&#32;(Epidemiological&#32;history,&#32;clinical&#32;information,&#32;laboratory&#32;examination,&#32;hospitalization&#32;profile,&#32;pulmonary&#32;function&#32;examination,&#32;blood&#32;gas&#32;test,&#32;chest&#32;plain&#32;film,&#32;chest&#32;CT,&#32;complications,&#32;final&#32;classification,&#32;disease&#32;stage).;","China",0,NA,FALSE,FALSE,FALSE
"ChiCTR2000029778","2020-02-13","Clinical Study for Traditional Chinese Medicine Combined With Western Medicine in Treatment of Novel Coronavirus Pneumonia (COVID-19)","TCM Group:herbal medicine and conventional treatment;QFPD decoction group:QFPD decoction and conventional treatment;SFJD capsuale group:SFJD capsuale and conventional treatment;control group:conventional treatment;","China",600,NA,TRUE,FALSE,FALSE
"ChiCTR2000029777","2020-02-13","A multicenter, randomized, controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19) based on the 'Truncated Torsion' strategy","experimental group:Truncation and Torsion Formula and Routine treatment of Western Medicine;control group:Routine treatment of Western Medicine;","China",160,"truncated torsion",FALSE,FALSE,TRUE
"ChiCTR2000029776","2020-02-13","A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)","experimental group:Polyinosinic-Polycytidylic Acid Injection and conventional therapy;control group:conventional therapy;","China",40,"polyinosinic-polycytidylic",FALSE,FALSE,TRUE
"ChiCTR2000029769","2020-02-13","Babaodan Capsule used for the adjuvant treatment of severe novel coronavirus pneumonia (COVID-19)","Experimental group:Routine treatment + Babaodan 6 capsules, bid orally;Control group:Conventional treatment;","China",40,"ba-bao-dan",FALSE,FALSE,TRUE
"ChiCTR2000029768","2020-02-13","A randomized, open, controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin C tablets in the treatment of common novel coronavirus pneumonia (COVID-19) in the basic of clinical standard antiviral treatment to evaluate the safety and efficiency","experimental group:Diammonium Glycyrrhizinate Enteric-coated Capsules (oral, 150mg, Tid), Vitamin C tablets (oral, 0.5g, QD) and clinical standard antiviral treatment;control group:clinical standard antiviral treatment;","China",60,"glycyrrhizinate, vitamin c",FALSE,TRUE,TRUE
"ChiCTR2000029765","2020-02-13","A multicenter, randomized controlled trial for the efficacy and safety of tocilizumab in the treatment of new coronavirus pneumonia (COVID-19)","control group:conventional therapy;Experience group:conventional  therapy+tocilizumab;","China",188,"tocilizumab",FALSE,FALSE,TRUE
"ChiCTR2000029764","2020-02-13","Imaging Features and Mechanisms of Novel Coronavirus Pneumonia (COVID-19): a Multicenter Study","case series:N/A;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029763","2020-02-12","Study on Prevention and Treatment of Novel Coronavirus Pneumonia (COVID-19) With Traditional Chinese Medicine","experimental group:TCM and general treatment;control group:general treatment;","China",408,NA,FALSE,FALSE,FALSE
"ChiCTR2000029758","2020-02-12","Cohort Study of Novel Coronavirus Pneumonia (COVID-19) Critical Ill Patients","Case series:Nil;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029756","2020-02-12","Clinical study of nebulized Xiyanping injection in the treatment of novel coronavirus pneumonia (COVID-19)","experimental group:Xiyanping injection;control group:alpha-interferon;","China",238,"alpha-interferon, xiyanping",FALSE,TRUE,TRUE
"ChiCTR2000029754","2020-02-12","Effect of Novel Coronavirus Pneumonia (COVID-19) on the Health of Different People","Epilepsy group:N/A;Health Control group:N/A;","China",1500,NA,FALSE,FALSE,FALSE
"ChiCTR2000029751","2020-02-12","Clinical Study for Traditional Chinese Medicine in the Prevention and Treatment of Novel Coronavirus Pneumonia (COVID-19)","Suspected patient control group:Routine respiratory disease treatment;Suspected patient Treatment group:Oral Chinese medicine treatment based on control group;Common NCP patient control group:treatment according to the guideline;Common NCP patient Treatment group:Oral Chinese medicine treatment based on control group;Severe NCP patient:Oral Chinese medicine treatment and treatment according to the guideline;","China",350,NA,TRUE,FALSE,FALSE
"ChiCTR2000029747","2020-02-11","Effect evaluation and prognosis of Chinese medicine based on Novel Coronavirus Pneumonia (COVID-19)","Experimental group:Traditional Chinese Medicine;control group:Basic treatment of modern medicine;","China",200,NA,FALSE,FALSE,FALSE
"ChiCTR2000029742","2020-02-11","A randomized, parallel controlled trial for the efficacy and safety of Sodium Aescinate Injection in the treatment of patients with pneumonia (COVID-19)","General patients treated with normal treatment:Normal Treatment;General patients experimental group:Normal Treatment plus Sodium Aescinate for Injection;Severe patients control group 1:Normal treatment plus hormonotherapy;Severe patients control group 2:Normal Treatment;Severe patients experimental group:Normal Treatment plus Sodium Aescinate for Injection;","China",90,"aescinate, sodium aescinate",FALSE,TRUE,TRUE
"ChiCTR2000029741","2020-02-11","Efficacy of Chloroquine and Lopinavir/ Ritonavir in mild/general novel coronavirus (CoVID-19) infections: a prospective, open-label, multicenter randomized controlled clinical study","experimental group:Chloroquine Phosphate;control group:Lopinavir / Ritonavir;","China",112,"chloroquine, lopinavir, ritonavir",FALSE,TRUE,TRUE
"ChiCTR2000029739","2020-02-11","A Multicenter, Randomized, Parallel Controlled Clinical Study of Hydrogen-Oxygen Nebulizer to Improve the Symptoms of Patients With Novel Coronavirus Pneumonia (COVID-19)","Experimental group:Hydrogen-Oxygen Nebulizer;Control group:Oxygen concentrator;","China",440,NA,FALSE,FALSE,FALSE
"ChiCTR2000029735","2020-02-10","Risks of Death and Severe cases in Patients with 2019 Novel Coronavirus Pneumonia (COVID-19)","non-severe group and severe gorup:N/A;","China",500,NA,FALSE,FALSE,FALSE
"ChiCTR2000029734","2020-02-10","Epidemiological investigation and clinical characteristics analysis of novel coronavirus pneumonia (COVID-19)","Case series:N/A;","China",40,NA,FALSE,FALSE,FALSE
"ChiCTR2000029732","2020-02-10","Impact of vitamin D deficiency on prognosis of patients novel coronavirus pneumonia (COVID-19)","Vitamin D deficiency group:N/A;Vitamin D normal group:N/A;","China",156,"vitamin d",FALSE,FALSE,TRUE
"ChiCTR2000029695","2020-02-10","Early Detection of Novel Coronavirus Pneumonia (COVID-19) Based on a Novel High-Throughput Mass Spectrometry Analysis With Volatile Organic Compounds in Exhaled Breath","Gold Standard:RT-PCR of the novel coronavirus;Index test:Exhaled&#32;breath&#32;detection&#32;by&#32;mass&#32;spectrometry;","China",600,NA,FALSE,FALSE,FALSE
"ChiCTR2000029656","2020-02-09","A randomized, open-label study to evaluate the efficacy and safety of low-dose corticosteroids in hospitalized patients with novel coronavirus pneumonia (COVID-19)","control group:Standard treatment;experimental group:Standard treatment and methylprednisolone for injection;","China",100,"methylprednisolone",FALSE,FALSE,TRUE
"ChiCTR2000029639","2020-02-08","Mental health and psychological interventions on doctors, nurses and patients at the novel coronavirus pneumonia (COVID-19) designated hospitals: a prospective, open, single-center clinical study","doctors group:Psychological intervention;nurses group:Psychological intervention;suspected cases group:Psychological intervention or drug intervention;cases group:Psychological intervention or drug intervention;","China",192,NA,FALSE,FALSE,FALSE
"ChiCTR2000029637","2020-02-08","An observational study for Xin-Guan-1 formula  in the treatment of novel coronavirus pneumonia (COVID-19)","Experimental group:Xinguan-1 formula+Standard treatment;Control group:Standard treatment;","China",100,"xinguan-1",FALSE,FALSE,TRUE
"ChiCTR2000029636","2020-02-08","Efficacy and safety of aerosol inhalation of vMIP in the treatment of novel coronavirus pneumonia (COVID-19): a single arm clinical trial","Case series:Conventional standardized treatment and vMIP atomized inhalation;","China",40,"vmip",FALSE,FALSE,TRUE
"ChiCTR2000029628","2020-02-07","Observational study of Xin-Guan-2 formula in the treatment of suspected novel coronavirus pneumonia (COVID-19)","Experimental group:Xinguan-2 formula+Standard treatment;Control group:Standard treatment;","China",100,"xinguan-2",TRUE,FALSE,TRUE
"ChiCTR2000029626","2020-02-07","Immune Repertoire (TCR & BCR) Evaluation and Immunotherapy Research in Peripheral Blood of Novel Coronavirus Pneumonia (COVID-19) Patients","Normal group:No;Severe group:No;","China",20,NA,FALSE,FALSE,FALSE
"ChiCTR2000029625","2020-02-07","Construction of Early Warning and Prediction System for Patients with Severe / Critical Novel Coronavirus Pneumonia (COVID-19)","Gold Standard:Clinical outcome;Index test:early&#32;warning&#32;and&#32;prediction&#32;system;","China",80,NA,FALSE,FALSE,FALSE
"ChiCTR2000029624","2020-02-07","A real world study for traditional Chinese Medicine in the treatment of novel coronavirus pneumonia ((COVID-19)","Case series:Traditional Chinese Medicine;","China",500,NA,FALSE,FALSE,FALSE
"ChiCTR2000029621","2020-02-07","Multicenter, randomized, open-label, controlled trial for the efficacy and safety of arbidol hydrochloride tablets in the treatment of novel coronavirus pneumonia (COVID-19)","Experimental group:Arbidol tablets + basic treatment;Control group:Basic treatment;","China",380,"arbidol",FALSE,FALSE,TRUE
"ChiCTR2000029609","2020-02-06","A prospective, open-label, multiple-center study for the efficacy of chloroquine phosphate in hospitalized patients with novel coronavirus pneumonia (COVID-19)","mild-moderate chloroquine group:oral chloroquine phosphate;mild-moderate Lopinavir/ritonavir group:oral Lopinavir/ritonavir;mild-moderate combination group:chloroquine phosphate plus Lopinavir/ritonavir;severe-chloroquine group :oral chloroquine phosphate  ;severe- Lopinavir/ritonavir group:oral Lopinavir/ritonavir;","China",205,"chloroquine, lopinavir, ritonavir",TRUE,TRUE,TRUE
"ChiCTR2000029606","2020-02-07","Clinical Study for Human Menstrual Blood-derived Stem Cells in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19)","experimental group A:Conventional treatment followed by Intravenous infusion of Human Menstrual Blood-derived Stem Cells preparations;control gorup A:Conventional treatment;Experimental Group B1:Artificial liver therapy+conventional treatment;Experimental Group B2:Artificial liver therapy followed by Intravenous infusion of Human Menstrual Blood-derived Stem Cells preparations+conventional treatment;Control Gorup A:Conventional treatment;","China",63,"human menstrual blood, mesenchymal stem cells",FALSE,TRUE,TRUE
"ChiCTR2000029603","2020-02-06","A Randomized, Open-Label, Multi-Centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Novel Coronavirus Pneumonia (COVID-19)","Experimental group:Conventional standardized treatment and ASC09/Ritonavir;Control group:Conventional standardized treatment and Lopinavir/Ritonavir;","China",160,"asc09, lopinavir, ritonavir",FALSE,TRUE,TRUE
"ChiCTR2000029602","2020-02-06","Clinical study for community based prevention and control strategy of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population","Experimental group:health education, follow-up condition management by team of family doctors, Chinese medicine treatment;Control group:health education, follow-up condition management by team of family doctors;","China",600,NA,FALSE,FALSE,FALSE
"ChiCTR2000029601","2020-02-06","Community based prevention and control for Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19) in the isolated population","Control group:Health education+Basic treatment of western medicine;Experimental group:Health education+Basic treatment of Western medicine+Dialectical?treatment of traditional Chinese medicine;","China",400,NA,FALSE,FALSE,FALSE
"ChiCTR2000029600","2020-02-06","Clinical study on safety and efficacy of Favipiravir in the treatment of novel coronavirus pneumonia (COVID-19)","Group A:alpha-Interferon atomization;Group B:Lopinavir and Ritonavir + alpha-Interferon atomization;Group C:Favipiravir + alpha-Interferon atomization;","China",90,"alpha-interferon, favipiravir, lopinavir, ritonavir",TRUE,TRUE,TRUE
"ChiCTR2000029578","2020-02-05","Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19)","Treatment group:Integrated Traditional Chinese and Western Medicine;","China",1000,NA,FALSE,FALSE,FALSE
"ChiCTR2000029572","2020-02-05","Safety and efficacy of umbilical cord blood mononuclear cells in the treatment of severe and critically novel coronavirus pneumonia(COVID-19): a randomized controlled clinical trial","control group:Conventional treatment;experimental group:conventional treatment combined with umbilical cord blood mononuclear cells group;","China",30,"umbilical cord blood",FALSE,FALSE,TRUE
"ChiCTR2000029569","2020-02-04","Safety and efficacy of umbilical cord blood mononuclear cells conditioned medium in the treatment of severe and critically novel coronavirus pneumonia (COVID-19): a randomized controlled trial","control group :Conventional treatment ;Experimental group :conventional treatment combined with umbilical cord mesenchymal stem cell conditioned medium group;","China",30,"mesenchymal stem cells, umbilical cord blood",FALSE,TRUE,TRUE
"ChiCTR2000029559","2020-02-04","Therapeutic effect of hydroxychloroquine on novel coronavirus pneumonia (COVID-19)","experimental group 1:Hydroxychloroquine 0.1 oral 2/ day;experimental group 2:Hydroxychloroquine 0.2 oral 2/ day;Placebo control group:Starch pill oral 2/ day;","China",300,"hydroxychloroquine",FALSE,FALSE,TRUE
"ChiCTR2000029558","2020-02-04","Recommendations of Integrated Traditional Chinese and Western Medicine for Diagnosis and Treatment of Novel Coronavirus Pneumonia (COVID-19) in Sichuan Province","single arm:Chinese medicine treatment combined with western medicine treatment;","China",200,NA,FALSE,FALSE,FALSE
"ChiCTR2000029548","2020-02-04","Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients","A:BaloxavirMarboxil:80mg on day1,80mg on day4;and 80mg on day7 as neccessary. No more than 3 times administration in total.BaloxavirMarboxil:80mg on day1,80mg on day4;and 80mg on day7 as neccessary. No more than 3 times administration in total.;B:Favipiravir: 600 mg tid with 1600mg first loading dosage for no more than 14 days.;C:Lopinavir-Ritonavir: 2# (200mg/50 mg), twice daily, for 14days.;","China",30,"baloxavir, baloxavirmarboxil, favipiravir, lopinavir, ritonavir",FALSE,TRUE,TRUE
"ChiCTR2000029544","2020-02-03","A randomized controlled trial for the efficacy and safety of Baloxavir Marboxil, Favipiravir tablets in novel coronavirus pneumonia (COVID-19) patients who are still positive on virus detection under the current antiviral therapy","Experimental group 1:current antiviral treatment+Baloxavir Marboxil  tablets;Experimental group 2:current antiviral treatment+fabiravir tablets;Control group:current antiviral treatment;","China",30,"baloxavir, favipiravir",FALSE,TRUE,TRUE
"ChiCTR2000029542","2020-02-03","A prospective cohort study for the efficacy and safety of chloroquine in hospitalized patients with novel coronavirus pneumonia (COVID-19)","Experimental group:chloroquine;control group:conventional management;","China",20,"chloroquine",TRUE,FALSE,TRUE
"ChiCTR2000029541","2020-02-03","A randomised, open, controlled trial for darunavir/cobicistat or Lopinavir/ritonavir combined with thymosin a1 in the treatment of novel coronavirus pneumonia (COVID-19)","DRV/c group:DRV/c (800mg/150mg QD) + Conventional treatment containing thymosin (1.6 mg SC QOD) ;LPV/r group:LPV/r (400mg/100mg bid) + Conventional treatment containing thymosin (1.6 mg SC QOD);other group:Conventional treatment containing thymosin (1.6 mg SC QOD) ;","China",100,"cobicistat, darunavir, lopinavir, ritonavir, thymosin",FALSE,TRUE,TRUE
"ChiCTR2000029539","2020-02-03","A randomized, open-label study to evaluate the efficacy and safety of Lopinavir-Ritonavir in patients with mild novel coronavirus pneumonia (COVID-19)","experimental group:conventional standardized treatment and Lopinavir-Ritonavir;control group:Conventional standardized treatment;","China",328,"lopinavir, ritonavir",FALSE,TRUE,TRUE
"ChiCTR2000029518","2020-02-03","A prospective randomized double-blind placebo-controlled study of traditional Chinese medicine staging regimen in the treatment of novel coronavirus pneumonia (COVID-19)","(ordinary) Western medicine group:Use the (ordinary)  western medicine treatment plan in ""the diagnosis and treatment plan of new coronavirus infection pneumonia"" issued by the National Health Commission of the fourth edition.;(ordinary) Chinese and Western Medicine Group:Use the (ordinary)   TCM clinical prescription combined with the western medicine  treatment plan in ""the diagnosis and treatment plan of new coronavirus infection pneumonia"" issued by the National Health Commission of the fourth edition.;(severe) Western medicine group:Use the (severe) TCM clinical prescription combined with the western medicine treatment plan in ""the diagnosis and treatment plan of new coronavirus infection pneumonia"" issued by the National Health Commission of the fourth edition.;(severe) Chinese and Western Medicine Group:Use the(severe)TCM clinical prescription combined with the western medicine treatment plan in ""the diagnosis and treatment plan of new coronavirus infection pneumonia"" issued by the National Health Commission of the fourth edition.;","China",140,NA,FALSE,FALSE,FALSE
"ChiCTR2000029517","2020-02-03","Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19)","treament group:Chinese medicine decoction;placebo group:placebo;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029495","2020-02-02","Traditional Chinese Medicine, Psychological Intervention and Investigation of Mental Health for Patients With Novel Coronavirus Pneumonia (COVID-19) in Convalescent Period","experimental group:Traditional Chinese Medicine+psychological intervention;	 Control group:Traditional Chinese Medicine;Control group:psychological intervention;","China",90,NA,FALSE,FALSE,FALSE
